,Run,precision,recall,f1-score,support
Severo,34,0.7,0.6363636363636364,0.6666666666666666,11.0
accuracy,34,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429
macro avg,34,0.5752648185711066,0.5523569023569023,0.5598048941798941,105.0
weighted avg,34,0.7311928909494831,0.7428571428571429,0.7346995464852608,105.0
Leve,35,0.75,0.6666666666666666,0.7058823529411765,27.0
Moderada,35,0.0,0.0,0.0,3.0
Muito leve,35,0.65,0.7878787878787878,0.7123287671232876,33.0
Muito severo,35,0.0,0.0,0.0,1.0
Sadia,35,0.8571428571428571,0.8,0.8275862068965517,30.0
Severo,35,0.7272727272727273,0.7272727272727273,0.7272727272727273,11.0
accuracy,35,0.7238095238095238,0.7238095238095238,0.7238095238095238,0.7238095238095238
macro avg,35,0.49740259740259746,0.49696969696969706,0.49551167570562377,105.0
weighted avg,35,0.7182312925170068,0.7238095238095238,0.7180310385845411,105.0
Leve,36,0.7692307692307693,0.7407407407407407,0.7547169811320755,27.0
Moderada,36,0.0,0.0,0.0,3.0
Muito leve,36,0.7241379310344828,0.6363636363636364,0.6774193548387096,33.0
Muito severo,36,0.0,0.0,0.0,1.0
Sadia,36,0.75,0.9,0.8181818181818182,30.0
Severo,36,0.6923076923076923,0.8181818181818182,0.75,11.0
accuracy,36,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
macro avg,36,0.4892793987621575,0.5158810325476992,0.5000530256921006,105.0
weighted avg,36,0.7122015915119364,0.7333333333333333,0.7193109690066476,105.0
Leve,37,0.7307692307692307,0.7037037037037037,0.7169811320754716,27.0
Moderada,37,0.0,0.0,0.0,3.0
Muito leve,37,0.6923076923076923,0.5454545454545454,0.6101694915254238,33.0
Muito severo,37,0.0,0.0,0.0,1.0
Sadia,37,0.7105263157894737,0.9,0.7941176470588235,30.0
Severo,37,0.6666666666666666,0.9090909090909091,0.7692307692307693,11.0
accuracy,37,0.7047619047619048,0.7047619047619048,0.7047619047619048,0.7047619047619048
macro avg,37,0.4667116509221772,0.5097081930415264,0.481749839981748,105.0
weighted avg,37,0.6783432941327677,0.7047619047619048,0.6836109681874275,105.0
Leve,38,0.75,0.8888888888888888,0.8135593220338984,27.0
Moderada,38,0.0,0.0,0.0,3.0
Muito leve,38,0.8,0.7272727272727273,0.7619047619047619,33.0
Muito severo,38,0.0,0.0,0.0,1.0
Sadia,38,0.8333333333333334,0.8333333333333334,0.8333333333333334,30.0
Severo,38,0.6923076923076923,0.8181818181818182,0.75,11.0
accuracy,38,0.780952380952381,0.780952380952381,0.780952380952381,0.780952380952381
macro avg,38,0.5126068376068376,0.5446127946127947,0.526466236211999,105.0
weighted avg,38,0.7549084249084249,0.780952380952381,0.7653234175025944,105.0
Leve,39,0.8181818181818182,0.6666666666666666,0.7346938775510204,27.0
Moderada,39,0.0,0.0,0.0,3.0
Muito leve,39,0.6842105263157895,0.7878787878787878,0.7323943661971831,33.0
Muito severo,39,0.0,0.0,0.0,1.0
Sadia,39,0.8387096774193549,0.8666666666666667,0.8524590163934426,30.0
Severo,39,0.7142857142857143,0.9090909090909091,0.8,11.0
accuracy,39,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619
macro avg,39,0.5092312893671128,0.5383838383838384,0.5199245433569409,105.0
weighted avg,39,0.739888472752892,0.7619047619047619,0.7464716120970274,105.0
Leve,40,0.7307692307692307,0.7037037037037037,0.7169811320754716,27.0
Moderada,40,0.0,0.0,0.0,3.0
Muito leve,40,0.6857142857142857,0.7272727272727273,0.7058823529411765,33.0
Muito severo,40,0.0,0.0,0.0,1.0
Sadia,40,0.8275862068965517,0.8,0.8135593220338984,30.0
Severo,40,0.6153846153846154,0.7272727272727273,0.6666666666666666,11.0
accuracy,40,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
macro avg,40,0.4765757231274472,0.4930415263748597,0.4838482456195355,105.0
weighted avg,40,0.7043443584330285,0.7142857142857143,0.708502106737589,105.0
Leve,41,0.696969696969697,0.8518518518518519,0.7666666666666667,27.0
Moderada,41,0.0,0.0,0.0,3.0
Muito leve,41,0.7586206896551724,0.6666666666666666,0.7096774193548387,33.0
Muito severo,41,0.0,0.0,0.0,1.0
Sadia,41,0.8333333333333334,0.8333333333333334,0.8333333333333334,30.0
Severo,41,0.6666666666666666,0.7272727272727273,0.6956521739130435,11.0
accuracy,41,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429
macro avg,41,0.49259839777081155,0.5131874298540966,0.500888265544647,105.0
weighted avg,41,0.7255809324774842,0.7428571428571429,0.7311574166833635,105.0
Leve,42,0.7,0.5185185185185185,0.5957446808510638,27.0
Moderada,42,0.0,0.0,0.0,3.0
Muito leve,42,0.5853658536585366,0.7272727272727273,0.6486486486486487,33.0
Muito severo,42,0.0,0.0,0.0,1.0
Sadia,42,0.78125,0.8333333333333334,0.8064516129032258,30.0
Severo,42,0.7272727272727273,0.7272727272727273,0.7272727272727273,11.0
accuracy,42,0.6761904761904762,0.6761904761904762,0.6761904761904762,0.6761904761904762
macro avg,42,0.4656480968218773,0.467732884399551,0.463019611612611,105.0
weighted avg,42,0.663376887340302,0.6761904761904762,0.6636577159569609,105.0
Leve,43,0.7333333333333333,0.8148148148148148,0.7719298245614035,27.0
Moderada,43,0.0,0.0,0.0,3.0
Muito leve,43,0.7058823529411765,0.7272727272727273,0.7164179104477612,33.0
Muito severo,43,0.0,0.0,0.0,1.0
Sadia,43,0.8333333333333334,0.8333333333333334,0.8333333333333334,30.0
Severo,43,0.8,0.7272727272727273,0.7619047619047619,11.0
accuracy,43,0.7523809523809524,0.7523809523809524,0.7523809523809524,0.7523809523809524
macro avg,43,0.5120915032679738,0.5171156004489338,0.5139309717078767,105.0
weighted avg,43,0.7323249299719887,0.7523809523809524,0.7415699875132037,105.0
Leve,44,0.782608695652174,0.6666666666666666,0.72,27.0
Moderada,44,0.0,0.0,0.0,3.0
Muito leve,44,0.6585365853658537,0.8181818181818182,0.7297297297297297,33.0
Muito severo,44,0.0,0.0,0.0,1.0
Sadia,44,0.8571428571428571,0.8,0.8275862068965517,30.0
Severo,44,0.6666666666666666,0.7272727272727273,0.6956521739130435,11.0
accuracy,44,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
macro avg,44,0.4941591341379252,0.5020202020202021,0.4954946850898874,105.0
weighted avg,44,0.7229501061647706,0.7333333333333333,0.7238175352478202,105.0
Leve,45,0.71875,0.8518518518518519,0.7796610169491526,27.0
Moderada,45,0.0,0.0,0.0,3.0
Muito leve,45,0.7894736842105263,0.45454545454545453,0.5769230769230769,33.0
Muito severo,45,0.0,0.0,0.0,1.0
Sadia,45,0.7105263157894737,0.9,0.7941176470588235,30.0
Severo,45,0.6,0.8181818181818182,0.6923076923076923,11.0
accuracy,45,0.7047619047619048,0.7047619047619048,0.7047619047619048,0.7047619047619048
macro avg,45,0.46979166666666666,0.5040965207631875,0.4738349055397908,105.0
weighted avg,45,0.6988063909774436,0.7047619047619048,0.6812211716498856,105.0
Leve,46,0.7586206896551724,0.8148148148148148,0.7857142857142857,27.0
Moderada,46,0.0,0.0,0.0,3.0
Muito leve,46,0.7419354838709677,0.696969696969697,0.71875,33.0
Muito severo,46,0.0,0.0,0.0,1.0
Sadia,46,0.8064516129032258,0.8333333333333334,0.819672131147541,30.0
Severo,46,0.6153846153846154,0.7272727272727273,0.6666666666666666,11.0
accuracy,46,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429
macro avg,46,0.4870654003023302,0.5120650953984288,0.4984671805880822,105.0
weighted avg,46,0.7231372261405631,0.7428571428571429,0.7319669807813834,105.0
Leve,47,0.7096774193548387,0.8148148148148148,0.7586206896551724,27.0
Moderada,47,0.0,0.0,0.0,3.0
Muito leve,47,0.6944444444444444,0.7575757575757576,0.7246376811594203,33.0
Muito severo,47,0.0,0.0,0.0,1.0
Sadia,47,0.8518518518518519,0.7666666666666667,0.8070175438596491,30.0
Severo,47,0.7272727272727273,0.7272727272727273,0.7272727272727273,11.0
accuracy,47,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429
macro avg,47,0.49720774048731037,0.5110549943883277,0.5029247736578282,105.0
weighted avg,47,0.7203191670933606,0.7428571428571429,0.729584080140381,105.0
Leve,48,0.6875,0.8148148148148148,0.7457627118644068,27.0
Moderada,48,0.0,0.0,0.0,3.0
Muito leve,48,0.7777777777777778,0.6363636363636364,0.7,33.0
Muito severo,48,0.0,0.0,0.0,1.0
Sadia,48,0.7714285714285715,0.9,0.8307692307692308,30.0
Severo,48,0.7272727272727273,0.7272727272727273,0.7272727272727273,11.0
accuracy,48,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429
macro avg,48,0.49399651274651274,0.5130751964085297,0.5006341116510608,105.0
weighted avg,48,0.717828798185941,0.7428571428571429,0.7253206680325324,105.0
Leve,49,0.7142857142857143,0.7407407407407407,0.7272727272727273,27.0
Moderada,49,0.0,0.0,0.0,3.0
Muito leve,49,0.75,0.6363636363636364,0.6885245901639344,33.0
Muito severo,49,0.0,0.0,0.0,1.0
Sadia,49,0.75,0.9,0.8181818181818182,30.0
Severo,49,0.6923076923076923,0.8181818181818182,0.75,11.0
accuracy,49,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
macro avg,49,0.4844322344322345,0.5158810325476992,0.4973298559364134,105.0
weighted avg,49,0.7062009419152275,0.7333333333333333,0.7157440919736002,105.0
Leve,50,0.8076923076923077,0.7777777777777778,0.7924528301886793,27.0
Moderada,50,0.5,0.3333333333333333,0.4,3.0
Muito leve,50,0.7419354838709677,0.696969696969697,0.71875,33.0
Muito severo,50,0.0,0.0,0.0,1.0
Sadia,50,0.8125,0.8666666666666667,0.8387096774193549,30.0
Severo,50,0.6153846153846154,0.7272727272727273,0.6666666666666666,11.0
accuracy,50,0.7523809523809524,0.7523809523809524,0.7523809523809524,0.7523809523809524
macro avg,50,0.5795854011579818,0.5670033670033671,0.5694298623791169,105.0
weighted avg,50,0.7517694670920477,0.7523809523809524,0.7505676197238887,105.0
Leve,51,0.7692307692307693,0.7407407407407407,0.7547169811320755,27.0
Moderada,51,0.0,0.0,0.0,3.0
Muito leve,51,0.7096774193548387,0.6666666666666666,0.6875,33.0
Muito severo,51,0.0,0.0,0.0,1.0
Sadia,51,0.7647058823529411,0.8666666666666667,0.8125,30.0
Severo,51,0.6153846153846154,0.7272727272727273,0.6666666666666666,11.0
accuracy,51,0.7238095238095238,0.7238095238095238,0.7238095238095238,0.7238095238095238
macro avg,51,0.47649978105386076,0.5002244668911335,0.48689727463312366,105.0
weighted avg,51,0.7037999318834234,0.7238095238095238,0.7121256364180892,105.0
Leve,52,0.65625,0.7777777777777778,0.711864406779661,27.0
Moderada,52,0.0,0.0,0.0,3.0
Muito leve,52,0.7,0.6363636363636364,0.6666666666666666,33.0
Muito severo,52,0.0,0.0,0.0,1.0
Sadia,52,0.7575757575757576,0.8333333333333334,0.7936507936507936,30.0
Severo,52,0.7777777777777778,0.6363636363636364,0.7,11.0
accuracy,52,0.7047619047619048,0.7047619047619048,0.7047619047619048,0.7047619047619048
macro avg,52,0.48193392255892253,0.4806397306397306,0.47869697784952026,105.0
weighted avg,52,0.6866816979316979,0.7047619047619048,0.6926653599292825,105.0
Leve,53,0.7272727272727273,0.8888888888888888,0.8,27.0
Moderada,53,0.0,0.0,0.0,3.0
Muito leve,53,0.7931034482758621,0.696969696969697,0.7419354838709677,33.0
Muito severo,53,0.0,0.0,0.0,1.0
Sadia,53,0.8275862068965517,0.8,0.8135593220338984,30.0
Severo,53,0.6428571428571429,0.8181818181818182,0.72,11.0
accuracy,53,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619
macro avg,53,0.498469920883714,0.534006734006734,0.5125824676508111,105.0
weighted avg,53,0.740074211502783,0.7619047619047619,0.7467681012262751,105.0
Leve,54,0.696969696969697,0.8518518518518519,0.7666666666666667,27.0
Moderada,54,0.0,0.0,0.0,3.0
Muito leve,54,0.7352941176470589,0.7575757575757576,0.746268656716418,33.0
Muito severo,54,0.0,0.0,0.0,1.0
Sadia,54,0.8620689655172413,0.8333333333333334,0.847457627118644,30.0
Severo,54,0.7777777777777778,0.6363636363636364,0.7,11.0
accuracy,54,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619
macro avg,54,0.5120184263186291,0.5131874298540965,0.5100654917502881,105.0
weighted avg,54,0.7381001163962625,0.7619047619047619,0.7471485189066773,105.0
Leve,55,0.8260869565217391,0.7037037037037037,0.76,27.0
Moderada,55,0.0,0.0,0.0,3.0
Muito leve,55,0.6842105263157895,0.7878787878787878,0.7323943661971831,33.0
Muito severo,55,0.0,0.0,0.0,1.0
Sadia,55,0.8064516129032258,0.8333333333333334,0.819672131147541,30.0
Severo,55,0.7272727272727273,0.7272727272727273,0.7272727272727273,11.0
accuracy,55,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429
macro avg,55,0.507336970502247,0.5086980920314254,0.506556537436242,105.0
weighted avg,55,0.7340651769676645,0.7428571428571429,0.7359921716088882,105.0
Leve,56,0.8076923076923077,0.7777777777777778,0.7924528301886793,27.0
Moderada,56,0.0,0.0,0.0,3.0
Muito leve,56,0.7352941176470589,0.7575757575757576,0.746268656716418,33.0
Muito severo,56,0.0,0.0,0.0,1.0
Sadia,56,0.8064516129032258,0.8333333333333334,0.819672131147541,30.0
Severo,56,0.6923076923076923,0.8181818181818182,0.75,11.0
accuracy,56,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619
macro avg,56,0.5069576217583808,0.5311447811447813,0.518065603008773,105.0
weighted avg,56,0.7417269637383489,0.7619047619047619,0.7510786287729748,105.0
Leve,57,0.75,0.6666666666666666,0.7058823529411765,27.0
Moderada,57,0.0,0.0,0.0,3.0
Muito leve,57,0.6666666666666666,0.7272727272727273,0.6956521739130435,33.0
Muito severo,57,0.0,0.0,0.0,1.0
Sadia,57,0.8064516129032258,0.8333333333333334,0.819672131147541,30.0
Severo,57,0.6923076923076923,0.8181818181818182,0.75,11.0
accuracy,57,0.7238095238095238,0.7238095238095238,0.7238095238095238,0.7238095238095238
macro avg,57,0.4859043286462641,0.5075757575757577,0.4952011096669602,105.0
weighted avg,57,0.7053231714522037,0.7238095238095238,0.7129096114568421,105.0
Leve,58,0.6571428571428571,0.8518518518518519,0.7419354838709677,27.0
Moderada,58,0.0,0.0,0.0,3.0
Muito leve,58,0.7931034482758621,0.696969696969697,0.7419354838709677,33.0
Muito severo,58,0.0,0.0,0.0,1.0
Sadia,58,0.8666666666666667,0.8666666666666667,0.8666666666666667,30.0
Severo,58,0.7272727272727273,0.7272727272727273,0.7272727272727273,11.0
accuracy,58,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619
macro avg,58,0.5073642832263522,0.5237934904601572,0.512968393613555,105.0
weighted avg,58,0.7420501993901009,0.7619047619047619,0.7477726574500768,105.0
Leve,59,0.7777777777777778,0.7777777777777778,0.7777777777777778,27.0
Moderada,59,0.2,0.3333333333333333,0.25,3.0
Muito leve,59,0.7586206896551724,0.6666666666666666,0.7096774193548387,33.0
Muito severo,59,0.0,0.0,0.0,1.0
Sadia,59,0.7878787878787878,0.8666666666666667,0.8253968253968254,30.0
Severo,59,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
accuracy,59,0.7523809523809524,0.7523809523809524,0.7523809523809524,0.7523809523809524
macro avg,59,0.5570765122489261,0.5771043771043771,0.5635056401185433,105.0
weighted avg,59,0.7549604418569936,0.7523809523809524,0.7517262819106137,105.0
Leve,60,0.6428571428571429,0.6666666666666666,0.6545454545454545,27.0
Moderada,60,0.0,0.0,0.0,3.0
Muito leve,60,0.6486486486486487,0.7272727272727273,0.6857142857142857,33.0
Muito severo,60,0.0,0.0,0.0,1.0
Sadia,60,0.8333333333333334,0.8333333333333334,0.8333333333333334,30.0
Severo,60,0.7,0.6363636363636364,0.6666666666666666,11.0
accuracy,60,0.7047619047619048,0.7047619047619048,0.7047619047619048,0.7047619047619048
macro avg,60,0.4708065208065208,0.4772727272727273,0.4733766233766234,105.0
weighted avg,60,0.6805956977385549,0.7047619047619048,0.6917584003298289,105.0
Leve,61,0.6857142857142857,0.8888888888888888,0.7741935483870968,27.0
Moderada,61,0.0,0.0,0.0,3.0
Muito leve,61,0.8214285714285714,0.696969696969697,0.7540983606557377,33.0
Muito severo,61,0.0,0.0,0.0,1.0
Sadia,61,0.8387096774193549,0.8666666666666667,0.8524590163934426,30.0
Severo,61,0.7,0.6363636363636364,0.6666666666666666,11.0
accuracy,61,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619
macro avg,61,0.507642089093702,0.5148148148148148,0.5079029320171572,105.0
weighted avg,61,0.7474544656572307,0.7619047619047619,0.7494816717450243,105.0
Leve,62,0.7777777777777778,0.7777777777777778,0.7777777777777778,27.0
Moderada,62,0.0,0.0,0.0,3.0
Muito leve,62,0.75,0.7272727272727273,0.7384615384615385,33.0
Muito severo,62,0.0,0.0,0.0,1.0
Sadia,62,0.8125,0.8666666666666667,0.8387096774193549,30.0
Severo,62,0.6923076923076923,0.8181818181818182,0.75,11.0
accuracy,62,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619
macro avg,62,0.5054309116809117,0.5316498316498317,0.5174914989431119,105.0
weighted avg,62,0.7403846153846154,0.7619047619047619,0.7502906770648705,105.0
Leve,63,0.6875,0.8148148148148148,0.7457627118644068,27.0
Moderada,63,0.0,0.0,0.0,3.0
Muito leve,63,0.75,0.6363636363636364,0.6885245901639344,33.0
Muito severo,63,0.0,0.0,0.0,1.0
Sadia,63,0.78125,0.8333333333333334,0.8064516129032258,30.0
Severo,63,0.6363636363636364,0.6363636363636364,0.6363636363636364,11.0
accuracy,63,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
macro avg,63,0.4758522727272727,0.48681257014590346,0.47951709188253394,105.0
weighted avg,63,0.7023809523809523,0.7142857142857143,0.7052424103128152,105.0
Leve,64,0.6666666666666666,0.7407407407407407,0.7017543859649122,27.0
Moderada,64,0.0,0.0,0.0,3.0
Muito leve,64,0.6857142857142857,0.7272727272727273,0.7058823529411765,33.0
Muito severo,64,0.0,0.0,0.0,1.0
Sadia,64,0.8275862068965517,0.8,0.8135593220338984,30.0
Severo,64,0.7,0.6363636363636364,0.6666666666666666,11.0
accuracy,64,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
macro avg,64,0.47999452654625063,0.4840628507295173,0.48131045460110894,105.0
weighted avg,64,0.6967253108139809,0.7142857142857143,0.7045866577377309,105.0
Leve,65,0.7727272727272727,0.6296296296296297,0.6938775510204082,27.0
Moderada,65,0.0,0.0,0.0,3.0
Muito leve,65,0.6857142857142857,0.7272727272727273,0.7058823529411765,33.0
Muito severo,65,0.0,0.0,0.0,1.0
Sadia,65,0.7878787878787878,0.8666666666666667,0.8253968253968254,30.0
Severo,65,0.6,0.8181818181818182,0.6923076923076923,11.0
accuracy,65,0.7238095238095238,0.7238095238095238,0.7238095238095238,0.7238095238095238
macro avg,65,0.4743867243867244,0.5069584736251403,0.4862440702776838,105.0
weighted avg,65,0.7021768707482993,0.7238095238095238,0.7086295323990403,105.0
Leve,66,0.7931034482758621,0.8518518518518519,0.8214285714285714,27.0
Moderada,66,0.0,0.0,0.0,3.0
Muito leve,66,0.7575757575757576,0.7575757575757576,0.7575757575757576,33.0
Muito severo,66,0.0,0.0,0.0,1.0
Sadia,66,0.8333333333333334,0.8333333333333334,0.8333333333333334,30.0
Severo,66,0.75,0.8181818181818182,0.782608695652174,11.0
accuracy,66,0.780952380952381,0.780952380952381,0.780952380952381,0.780952380952381
macro avg,66,0.5223354231974922,0.5434904601571269,0.5324910596649727,105.0
weighted avg,66,0.7587027914614123,0.780952380952381,0.7694025436261462,105.0
Leve,67,0.696969696969697,0.8518518518518519,0.7666666666666667,27.0
Moderada,67,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
Muito leve,67,0.782608695652174,0.5454545454545454,0.6428571428571429,33.0
Muito severo,67,0.0,0.0,0.0,1.0
Sadia,67,0.7714285714285715,0.9,0.8307692307692308,30.0
Severo,67,0.7272727272727273,0.7272727272727273,0.7272727272727273,11.0
